id,partition
1ddy-1-A,train
1dk1-1-B,train
1dul-1-B,train
1ffk-1-9,train
1ffy-1-T,train
1gax-1-C,train
1i6u-1-C,train
1j1u-1-B,train
1kh6-1-A,train
1kog-1-I,train
1mzp-1-B,train
1p6v-1-B,train
1u63-1-B,train
1un6-1-E,train
1wz2-1-C,train
1y27-1-X,train
1yfg-1-A,train
2a64-1-A,train
2csx-1-C,train
2d6f-1-F,train
2dr2-1-B,train
2du3-1-D,train
2gis-1-A,train
2gtt-1-X,train
2hvy-1-E,train
2nue-1-C,train
2oiu-1-P,train
2qus-1-A,train
2qwy-1-A,train
2zh2-1-B,train
2zni-1-C,train
3adb-1-C,train
3amt-1-B,train
3bwp-1-A,train
3d2v-1-A,train
3e5c-1-A,train
3gca-1-A,train
3iab-1-R,train
3icq-1-D,train
3ivn-1-A,train
3iwn-1-A,train
3k0j-1-E,train
3ktw-1-C,train
3moj-1-A,train
3owi-1-A,train
3pdr-1-X,train
3q3z-1-V,train
3r4f-1-A,train
3r9x-1-C,train
3ski-1-A,train
3suh-1-X,train
3u4m-1-B,train
3w3s-1-B,train
4c7o-1-E,train
4fnj-1-A,train
4gcw-1-B,train
4gxy-1-A,train
4jrc-1-A,train
4kr6-1-C,train
4kzd-1-R,train
4lvw-1-A,train
4m4o-1-B,train
4o26-1-E,train
4oji-1-A,train
4oqu-1-A,train
4pdb-1-I,train
4plx-1-A,train
4pmi-1-A,train
4pqv-1-A,train
4qk9-1-A,train
4r4p-1-A,train
4rdx-1-C,train
4rge-1-A,train
4rmo-1-B,train
4rzd-1-A,train
4u7u-1-L,train
4uyk-1-R,train
4v2s-1-Q,train
4v51-1-AW,train
4v7l-1-AY,train
4v83-1-AV,train
4wf9-1-Y,train
4wfl-1-A,train
4x0b-1-B,train
4x4p-1-B,train
4y1j-1-A,train
4y1m-1-B,train
4ycp-1-B,train
5bjo-1-E,train
5btp-1-B,train
5de5-1-A,train
5e6m-1-C,train
5e7k-1-3K,train
5j01-1-A,train
5kpy-1-A,train
5tf6-1-D,train
5tpy-1-A,train
5u3g-1-B,train
5ud5-1-D,train
5voe-1-A,train
5vsu-1-I,train
5wwr-1-C,train
5x6b-1-P,train
6c63-1-A,train
6cf2-1-G,train
6cu1-1-A,train
6d12-1-C,train
6d3p-1-A,train
6dtd-1-C,train
6gsj-1-3K,train
6gsl-1-3L,train
6ifo-1-D,train
6mj0-1-A,train
1g59-1-B,train
1j2b-1-C,train
1sjf-1-B,train
1y26-1-X,train
2bte-1-B,train
2gtt-1-W,train
2r8s-1-R,train
2xd0-1-H,train
2zue-1-B,train
3am1-1-B,train
3fu2-1-B,train
3ouy-1-C,train
3rw6-1-H,train
3v7e-1-C,train
3vjr-1-B,train
3wqy-1-C,train
4k27-1-U,train
4qk8-1-A,train
4u3m-1-3,train
4v6f-1-AB,train
4yye-1-C,train
4znp-1-A,train
5aox-1-C,train
5ccb-1-N,train
5dcv-1-B,train
5u34-1-B,train
5y7m-1-B,train
6db8-1-R,train
1f1t-1-A,test
1kxk-1-A,test
1s03-1-A,test
1u9s-1-A,test
1xjr-1-A,test
1zho-1-B,test
2deu-1-C,test
2ozb-1-C,test
2zjq-1-Y,test
2zzm-1-B,test
3a3a-1-A,test
3akz-1-F,test
3cul-1-C,test
3dig-1-X,test
3egz-1-B,test
3eph-1-E,test
3hhn-1-C,test
3npq-1-A,test
3vrs-1-A,test
3zjv-1-B,test
4ato-1-G,test
4c4w-1-D,test
4frn-1-A,test
4jf2-1-A,test
4kqy-1-A,test
4oog-1-D,test
4p95-1-A,test
4pkd-1-V,test
4qln-1-A,test
4r8i-1-B,test
4rum-1-A,test
4tvx-1-L,test
4v84-1-AV,test
4v8d-1-AD,test
4v8n-1-AW,test
4v9k-1-AW,test
4wj4-1-B,test
4x4v-1-B,test
4xw7-1-A,test
4yaz-1-R,test
4ybb-1-DB,test
5ah5-1-D,test
5b63-1-D,test
5d6g-1-0,test
5ddp-1-A,test
5lyu-1-A,test
5m0h-1-A,test
5m73-1-A,test
5ml7-1-A,test
5nwq-1-A,test
5o7h-1-A,test
5ob3-1-A,test
5t83-1-A,test
5wlh-1-B,test
5wtk-1-B,test
5ztm-1-C,test
6aay-1-B,test
6ck4-1-B,test
6dcb-1-B,test
6dlq-1-A,test
6dmc-1-A,test
6fz0-1-A,test
