id,folding
1f1t-1-A,((((((((.(((((....)))))....))...))))))
1kxk-1-A,.....(((.((((((...(((((((((((((((....))))))..)))))))))..))))))))).....
1s03-1-A,((((((.((....((((((((((....)))))))).)))).))))))
1u9s-1-A,....((((((...)))))).((((....)))).........................((((.((.(((((....))))))).)))..)........((.(((((....(((.....(((((((((....)))))))))....)))..))))).))
1xjr-1-A,..(((((((.(..(((.((...........)).)).).).)))))))
1zho-1-B,((((((((((..(((....)))......))))))))))
2deu-1-C,(((((((..((((.........))))((((((.......))))))...(((((.......))))))))))))...
2ozb-1-C,(((((.(((.....((.....))..))))))))
2zjq-1-Y,.((((((((((.....((.(((((....(((((((.............))))..)))...)))))..))(((.((....((.(((((....))))).))....)).)))..)))))))))).
2zzm-1-B,(((.(((((.....(((((((.......)))))))....))))).........((((...(((((.......))))))))))))
3a3a-1-A,(((((((....((((((....))))))((((((.......)))))).(((((....))))).((((.......))))..)))))))
3akz-1-F,(((((((((((((.......)))))).((((((..((.((.........)).))))))))...)))))))....
3cul-1-C,(((((((....))))))).(((..(((((..........)))))....)))...(((.(((((((((((.......))))))))))).))).
3dig-1-X,(((((((((((((((((((..(.......(((((((((................)))))))))......)..))))))......(((((((((.......)))))))))))))((.((((((((.....)))))))).)).((((((((....))))))))....)))))))))
3egz-1-B,(((((...((((...........))))((((((((..........)))))))).......)))))
3eph-1-E,(((((((..(((.......)))(((((((((...))))))))).......(.......)...)))))))
3hhn-1-C,((((((((..........)))))))).................((((...))))((((((((((((((..........)))))))..(((((....)))))((.(((((....))))).))))))))).........
3npq-1-A,.......((((((((.....((((((....)))).)).....))))))))..
3vrs-1-A,.......((((((........(.(((((....))))).)..)))))).....
3zjv-1-B,(((((((..(((...........))).(((((.....)))))(((((....))))).(((((.......))))))))))))....
4ato-1-G,...........((((.((....))))))......
4c4w-1-D,..((((......)))).....((((....))))..
4frn-1-A,((((((.......(((((....((((((.......)))).).....)......(((.......)))....))))))))))).....................
4jf2-1-A,((((((((....))))))))((((((((..............))))))))......((((....))))..........
4kqy-1-A,(((((((((....(((((...(((.....)))......)))))(((.(((((..(.(((((....))))).)))..))))))....(...((((((.....)))))))..))))))))).
4oog-1-D,((((((((((((((....))))))))))))))..
4p95-1-A,.(((((((.((((((..(((((...)))))..)))))).(((((((((.......))))))))).))))))).......................((.(((.......))).......))(......).......(((((......((.......)).............))))).((((....)))).
4pkd-1-V,((((((..........))))))((((((.(((((..........)))))))))))
4qln-1-A,...((((...(((...(((........))).)))))))...(((((((....)))))))........((((((((................................))))))))....
4r8i-1-B,.((((....((((........))))...))))........
4rum-1-A,((((((((....(((.((((((.....))))))...)))..(((((....))))).(((((((.........)))))))....)))))))).
4tvx-1-L,.......................(((((.........)))))...((((((....))))))
4v84-1-AV,((((((((.((((....)))))))))))).....
4v8d-1-AD,(((((((.((((...........))))(((((.......))))).............(((((.......))))))))))))....
4v8n-1-AW,(((((((..((((((((.(((((.(((.....)))..)))))))))))))(((((.......))))))))))))....
4v9k-1-AW,(((((((..((((.........))))..((((.......))))(((((...........)))))..)))))))....
4wj4-1-B,(((((((..((((((.............(((.......))))))))).(((((.......))))))))))))....
4x4v-1-B,(((.((((((((.......))))))))))).....
4xw7-1-A,(((((((..((........(((((....))))).))..))))))).....((((....))))..
4yaz-1-R,...................((((((....))))))..(((..(((((..(((((((...)))))..))))))).)))........
4ybb-1-DB,((((((((((((...((((((((....(((((((.............))))..)))...)))))).))..........((((((((...)))))))).......))...)))))))))).
5ah5-1-D,((((((((((...(((((((((......((((....))))...........))))))))).....)))..)))))))....
5b63-1-D,(((((((..((((.........))))............(((((.......))))))))))))..
5d6g-1-0,((((..((...((((((((.(((((.......))))).))))....((((........)))).)))))).))))
5ddp-1-A,((((..(((((....)))))........((((((..........)))))).....))))..
5lyu-1-A,.((((((((((...(((..(((((((....))).))))....)))...))))))))))
5m0h-1-A,(((((.....((((...((((....))))..))))..)))))
5m73-1-A,((((((((.(((((.(.(((((((((((.(((((..((((((....))))))..))))).)))).....((((......(((.(((.....((....))).)).))).....)))).))))))).)..))))))))...))))).
5ml7-1-A,.(((((((((((.........(((((....((((..((.(((.(((((....)))))..)))..))....)))).....))))))))))))))))
5nwq-1-A,...........(((((((..((.....)).....)))))))
5o7h-1-A,...........................(((((.....)))))
5ob3-1-A,((((((((((.............(((((((....)))))))..................))))))))))
5t83-1-A,..(((((((.((((.((((......))))....))))...)))))))(((((.....)))))...........................
5wlh-1-B,.......((((........))))...................
5wtk-1-B,..((((.........)))).....................
5ztm-1-C,(((((.((((.((((((((((((...)))))))))))).)))).)))))
6aay-1-B,...............((((....(((((((......)))))))....)))).
6ck4-1-B,((((((.((((((...(((((..(((((....)))))....)))))....))))))(((((.....)))))(..((((.(((.......)))..)))).)..)))))).
6dcb-1-B,(((.(((((((....)))))))...)))........
6dlq-1-A,......(((((((.((((....(((((....))))).....)))).)..))))))((((((....))))))...(((..(((.......)))...))).........
6dmc-1-A,.....((((((..((..(((.((((....))))..)))))....))))))(((((((....)))))))...(((((((.........))))))).........
6fz0-1-A,(((((..................))))).....................
