id,folding
5s_Acholeplasma-laidlawii-1,((((((((((...(.(((((((....((((((((.......)))))..)..))....))))))).).((.......((((.......)))).......)).)))))))))).
5s_Acidovorax-temperans-1,.(((((((((.....((((((((....(((((((((.......))..))))..)))...)))))).))(((.((....((((((....))))))....)).)))..)))))))))
tmRNA_Stre.gord._TRW-29390_1-349,...((((.........)))).......((((((((.....)))..)))))...(((.........)))((((((....))))))................((((((((..((((.........))))))))))))...(((((.....((((((........................)))))).......)))))..(((((..((((((....))))))..)))))..(((((((((.(((...........))).))))))))).....((((((((.(.((((....)))).)..)))))))).........((((((((((.......))))).)..))))...
tRNA_tdbR00000055-Schizosaccharomyces_pombe-4896-Glu-3UC,(((((((.....))))))......(((((((.......))))))).((((((.......)))))).....)....
srp_List.mono._U15684,........((((((.........))))))..................(((......)))...........((((((....(((((.(((((((((((...((((((.((..(((((((.((..((((((((((((((((((((((((.((((.....((((....(((....)))....))))...)))).)))))))).)).))))))..)))))))))).))))))).))))))))...))))))))))))))))...)))))).............
5s_Methanothermobacter-thermautotrophicus-6,..(((.(((((((...((((((((((((..((((((..(((...)))..))))..)).).).))).)))))))((((((.....(((((((.....)))))))...))))))...))))))))))...
srp_Vibr.fisc._CP000020,(((((((((((((((((((((((((..((((((.....((((....(((....)))....))))..))))))...)))).)).))))).).))))))))))))).......
srp_Baci.thur._D11412,...((((((((((((((((((...(.......)....)))....)))))).))))...........(.((....((((.(((.((((((((.....(.....(((((((((......((((((((((((((((((((((.(((((.....((((....(((....)))....))))...)))))...)))))).)).)))))))...))))))).......)))))))))).....)))))))).))).))))....)).)....))))).
grp1_a.I1.m.M.grisea.B2.ND1,.(((....)))..(((((((((..(((((..((((((...............)))))))))))........................)))))))))..............(((((.......))))).................(((((.........((((((((((((((((........))))))))).)))))))......))))).....(((((....))))).................((((((...))))))..(((((....)))))........
5s_Saprospira-grandis-1,....(((((((.....(((((((((....((.........(((((....)))))))....))))))...))).......((((((((....))))))))............)))))))...
srp_Tryp.bruc._AC159431,...(((((((...)))))))...................((((((.((((.((((.(((((....(((.((((((((.(((.....(((((((((((((......((....((((((.((((.((((.((....)).)))).)))))))))).....))...((((((((((....(((....)))....)))...........)))))))...)))))...))))))))..)))...)))))))))))...))))))))).)))).))))))
5s_Paracentrotus-lividus-1,(((((((((....((((((((.......((((..((....))..))))........)))))).))(((((((...(.(((((.(((....))).))))).).))))))))))))))))..
tmRNA_Stap.aure._BX571856_1-362,((((((..(((((.......)))))))))))...((.......))(((.((((((....)))))).))).........(((((......)))))....................((((....(((......)))..))))(((((.(((((((((.......)))))))))..))))).....(......)......(((((((...............)))))))..............((...((((((((..(((.(.....))))...))))))))....))...........((((((..........))))))...........(((((((((.......))))).))))......
5s_Tremella-mesenterica-1,......((((((((..............((((............))))................((((((((.(...(((((.(((....))))))))...)))))))))))))))))
5s_Coxiella-burnetii-2,...((((((((.........((((((.............(((........)))((......))....))))))......(((((((...)))))))........)...)))))))...
RNaseP_M.fervidus,................(((((((...((((((((((....))))((((((....)))))).....(((............((((((((((((...........((((((.......))))))......))))))))))..))........)))...))))))......)))))))...((((((..........))))))....................(((((((.......)))))))...
srp_Clos.perf._BA000016,(((((((..((.........(((((..(..........)....))))).........)).....((((((...(((..(((((((((((((....(((((((.((((((.....(((((((((.((((((((((((((.((((.....((((....(((....)))....))))...))))...))))))).)).)))))....)))))))))..))).))))))))))..)).)))))))))))..)))...)))))).))))))).
5s_Ganoderma-applanatum-1,..(((((((....((((((((..(((..((((((......))..))))..)))...)))))).))((((((......((.(.((((....))))).)).....)))))))))))))..
tRNA_tdbR00000088-Triticum_aestivum-4565-Phe-AA,((((.................((((((((((.......))))).(((((......)))))..))))).))))....
5s_Beggiatoa-alba-1,((((((((((.....((((((((....(((((((.............))))..)))...))))).)))(((.((....(((((((.....)))))))....)).)))..)))))))))).
5s_Xenopus-borealis-2,(((((((((...............(.(((((((((.((....((........)).)).)))))))))).((......)).....((....))((((((.....)))))))))))))))..
5s_Pseudomonas-fluorescens-1,.(((((((((.......((((((....(((((((.............))))..)))...))))))...(((.......((((((((...)))))))).......)))..)))))))))..
tmRNA_Nost.spec._BA000019_1-390,.(((((.((((((......((((..(((....)))..))))..........((((((........)))))).....................(((((((((((......))))...))))))).(..(((((((((..................((.......))...)))))))))).........)))))).))))).........(((..(((((((((((((((((((...(....)...)))))))......(.......))))))))))...)))(((((...........)))))......)))..............(((..........)))((((....)))).....(((.(((((.......)))))....)))....
srp_Heli.pylo._AE000524,.((((((((((((.((((((((((((((((((((((....((((....(((....)))....)))).)))))))))))))).)).))))))...)))))))))))).......
grp1_a.I1.e.P.inouyei.C1.SSU.1506,....((((((((((....(((...((.(((.((((....)))).))).))......))))).))))))))..((((.((((..........................................)))).))))...............((((((...((((...((.(((((((((((((.(((((((((....)))).)))))..((((((.......))))))...)))).....))))))))).))))))..))))))(((..(.((((.(((((....))))).)))).).))).....((((..........(((((((((((((....))))))))))))).......))))..(((((.(((....))).)))))............................
5s_Enterococcus-faecalis-2,....((((((((.((((((((...((..((((.............))))..))....)))))).)).((.(((...((((((((....))))))))...))).))..))))))))..
tmRNA_Bord.pert._TRW-257313_1-387,......................................(((((.....(((((........))))).....)).))).......................((((...))))((((((((....)))))))).((((((.((((((((....))))))))((((((((((....)))))).((((....))))...)))).))))))..((((((........(((((.(((((........))))).)))))........)))))).(((((((.(.((((.(.....)))))..).)))))))...................................................(((((((((........))))))..)))....
tRNA_tdbR00000368-Mesocricetus_auratus-10036-Arg-UCG,(((((((((............(((((((.......)))))))....(((......))))))))))))....
5s_Misgurnus-fossilis-14,(((((((((....(((((((..((..((((((..((....))..))))..))...)).)))))))(((((((.....(((((.(((....))).)))))...))))))))))))))))..
5s_Ralstonia-pickettii-1,.(((((((((((...((((((((....(((.(((((.......)))..))...)))...)))))).))..........((((((....)))))).......)))))...))))))
5s_Colwellia-psychrerythraea-1,.(((((((((.....((((((((....(((((((.............))))..)))...)))))).)).((.......(((((((....))))))).......))...)))))))))..
5s_Chlorella-pyrenoidosa-1,((((((((((.....((((((...((..((((............))))..))....)))))).(((..............((...........))..........))).))))))))))
