id,folding
bpRNA_RFAM_31470,..((((((((..(((....)))..))))))))....................
bpRNA_CRW_54646,((((.........))))...((((((....))))))......................(((((....(((((...((((((((((....((((.......................))))..)))))))))))))))...)))))..((...(((((((((............)))))))))..))...........(((((...(((.........)))......))))).............(((((............................)))))..............((((((((....))))))))((((((.((.......)))))))).................................
bpRNA_RFAM_10103,((((((.......(((((....(...(((...........)))...).........)))))................))))))
bpRNA_RFAM_24906,(((((((..........(((.....................................))).........))))))).
bpRNA_RFAM_14635,((((((((((((..(((((((((((.((((((((((....((....))......))))))))))))).))))))))..))))))))).)))
bpRNA_RFAM_13735,..((((((((..(((.(((((((((((......))))))).))))..))).))).)))))....((.....((((((..((((.((((((((((((.....)))))))))))).)))).)))))).....))
bpRNA_CRW_36793,(((((((..((((........))))...(((.......))).......(((((.......)))))))))))).
bpRNA_RFAM_7062,.((((.((((((........)))))))))).....................((..(((((......))))).))..........(((((.....))))).................
bpRNA_CRW_30987,(((((((.(((......))).....(((((((.......)))))))..(((((.......)))))))))))).
bpRNA_RFAM_21093,...((((((...........)))))).....(((....)))((((((....))))))..........
bpRNA_RFAM_37770,(.((((....)))).)...........(((...(((....((((((((((...........((((((.....(((..((((((((((((..(((..........)))...)))))............)))))))..)))..)))))))))))))))).....)))...)))
bpRNA_RFAM_17049,....(((((...((((....(((((((.(((................))).)))))))....))).)....)))))....
bpRNA_RFAM_21486,..(((((..(.(((((((.(((((((((((((((((.(.........(((((..................))))).)))))))))))))))))).))))))))..)))))......
bpRNA_RFAM_18698,............((((....))))....(((((((....(((((.....)))))....))))))).................
bpRNA_RFAM_36585,............((((.((((.((.((.((((((.((((.(((..((.............))..))).)))).)))))).)).)).)))).))))...........
bpRNA_RFAM_22941,......((((((((((..(((((.(((((....((((....))))...))))))))))....((((.((((((....)))))).))))............))))).......)))))....
bpRNA_RFAM_2970,(((((((((((..((((((....)))))))))))).)))))(((((.....)))))...((........)).(((((.......(((((..((((((.((((...((((....(((((((.(((((.((((.....)))).))))).))))))).....)))).((((((((((......))))))))))...)))).)))))).))))).)))))
bpRNA_RFAM_29080,...........(((((..((((((.....(((((((............))).))))....)))))))))))
bpRNA_RFAM_24645,...............(((((..(((((((((..(.............((((((((..(.........))))))))).)......)))))))))..).))))................(((((....))))).....((((((((((....................)))))))))).............
bpRNA_RFAM_40203,(((((((((....((((...........(((....)))......)))(.((((........)))).))...)))))))))........
bpRNA_RFAM_13342,................((((((....))))))........(((.((((.((.((((...)))).)))))).))).(((((.(((....................))).)))))...
bpRNA_RFAM_38972,.(((((.........(((((((((.....))))))))))))))(((((((.((....(((((..............((((.........))))))))).....)).))))))).((.((((.(..............((((((((((....))))..))))))((((((.((((.....)))).))))))..............((....(((((....)))))...............))............................).)))).)).....((((.....)))).............(((((((.((((((((....))))))))......((((..(((.......)))...)))).......))))))).......(((.........))).
bpRNA_RFAM_21216,..........((((....)))).((((...((((...(.((((((((((((((((.(((((((.....))))))).)))))))))))..))))).)...))))..)))).....
bpRNA_SPR_402,(((((((...................(((((.......)))))..............(((((.......))))))))))))....
bpRNA_RFAM_39694,..........(((((((((.......(((..(((((((((......(((((....)))))....)))))))))..))).......)))..)))))).......(((((.((((.....(((((....))))))))).))))).........
bpRNA_RFAM_42484,................................((((((((((..(((((((...)))))))(((....)))))))))))))......(((((((....)))))))................
bpRNA_RFAM_20013,....(.((((((.((.(((((((((..((.((.......)).))))))))))).)).)))))).)....
bpRNA_RFAM_16899,...........................((((((......)........)))))...........................((((((((((.((((.......)))).))))))))))............
bpRNA_RFAM_4640,..((((((((((((((....)))))..))))))))).((((((((((((((((...((((...))))..))))))))))).)))))..
bpRNA_RFAM_37831,.(((........)))............(((((((.....(..((............))...)......)))))))(..(((((((((((..((((........))))...))))..............))))))).)....................................
bpRNA_RFAM_24975,(((((.............((......(((..((((((...(((((((.((((.....((((.(((((((.....))))))).)))).............)))).)))))))))))))...)))...))............)))))
bpRNA_RFAM_9291,......................((((((....))))))......(((..(((((...(((....)))....)))))....)))...........(((.....))).(((((........((((((((.....))))))))......)))))(((((...(((((...((.((((...)))).)))))))....)))))...
bpRNA_RFAM_4651,..((((((((((((((....)))))..)))))))))...(((((((((((.......)))))))).)))....
bpRNA_RFAM_21697,((.(((((((((((((((.((((((((((.(((((((((((.((((.((((((((...(((((((((((((.(((((.(((.(((((((...)))))))).)).))))).)))))))))))))...)))))))).)))).)))))))))))))))).))))).))))))))))))))).))
bpRNA_RFAM_28503,.....((((((((((((((((((((((....)))))((((((..........)))))).......))))))))))))))))).....
bpRNA_RFAM_19027,.((.((.(((((((((((..((((((((((((....((((...........................................))))))))))))))))..))))))))))).))))..
bpRNA_RFAM_37922,...........((.(((.(((.....))))))...)).............(((.........((((((.((....((.((((((......((((..(...........)..)))).....)))))).)).)).))))))..........)))............
bpRNA_RFAM_26900,.......((((((..((((...((((((((((...........))))...))))))..)))).))))))....
bpRNA_RFAM_5781,.....((((.(((((((((((..((.(((((((((((......))))))))))).))..))))).......)))))).....((((..((((......))))..))))....))))............
bpRNA_RFAM_38514,.........................((((((((.......))..))))))..................((((...(...........)...))))..((((.......))))..........................
bpRNA_RFAM_101,........((((.(((((((...(((..((((((.(....).))))))..)))....)))).)))))))...........(((((.......)))))........................
bpRNA_CRW_54605,....(((((((..........)))))))...((((((((....)))).)))).(((((((((((((.....))))))))))))).............((((((...((((........................(((....))).((((.(((..........))).))))..................................))))..)))))).....((((..((((............................))))..))))........................(((((((((((...........)))))))))))(((((....(((.(((((((((....))))))))).)))....)).))).....
bpRNA_RFAM_2076,(((((((....(((((..((((((....((((((((.((((((.......))...))))..).))))))).....)).))))))))..)..)))))))....
bpRNA_RFAM_25948,............((((....))))(((((((.((((((..((((.....)))).))))))))))..)))..
bpRNA_RFAM_10508,...(((((.(..((.((.....((((.......)))).....)).).)...).)))))((((...........(((((((((.....((((.((((((((((((......)))))).))))))..............))))(((...................((((((((.....(...............).....))))))))...........)))...............)))))))))..))))..
bpRNA_RFAM_31482,.(((((((((..(((....)))..)))))))))...............
